Name,Current_Location,Age,Past_Travel_Destinations,Number_of_Trips,Flight_Number,Departure_City,Arrival_City,Flight_Date
,,,,,S9250,Savannah,Sacramento,2022-11-08
,,,,,W2459,Savannah,St. Louis,2024-01-05
Derrick Sparks,Baltimore,64,Valencia,1,K8043,Baltimore,Valencia,2023-06-03
Marc Alexander,Venice,19,"Warsaw, Brussels, Oslo, St. Petersburg",4,G2409,Venice,Warsaw,2022-10-02
,,,,,Q1009,Venice,Brussels,2023-10-13
,,,,,H3054,Venice,Oslo,2024-03-20
,,,,,V7942,Venice,St. Petersburg,2023-06-03
Paul Wagner,Barcelona,50,"Geneva, Malaga, Rome, Gothenburg, Geneva",5,B7891,Barcelona,Geneva,2023-09-19
,,,,,W4661,Barcelona,Malaga,2023-01-09
,,,,,B7714,Barcelona,Rome,2022-12-14
,,,,,L8215,Barcelona,Gothenburg,2022-11-19
,,,,,Y5945,Barcelona,Geneva,2023-12-05
Jeffrey Smith,Istanbul,41,"Krakow, Bordeaux",2,J5269,Istanbul,Krakow,2022-12-21
,,,,,M9568,Istanbul,Bordeaux,2023-01-23
Melissa Schmidt,Venice,33,Luxembourg,1,N7151,Venice,Luxembourg,2024-08-12
Thomas Acosta,Florence,47,St. Petersburg,1,R2717,Florence,St. Petersburg,2024-05-19
Matthew Kerr,Phoenix,38,Atlanta,1,H9665,Phoenix,Atlanta,2024-05-11
Elizabeth Ball,Sacramento,20,Dallas,1,F9689,Sacramento,Dallas,2022-11-25
Jason Thomas,Bergen,52,"Venice, Munich, Baltimore, Nice",4,H6413,Bergen,Venice,2024-01-26
,,,,,W9924,Bergen,Munich,2023-11-21
,,,,,V8691,Bergen,Baltimore,2024-04-16
,,,,,U2828,Bergen,Nice,2023-11-12
Thomas Ray,Vienna,36,"Warsaw, Amsterdam",2,K3927,Vienna,Warsaw,2023-11-24
,,,,,B3419,Vienna,Amsterdam,2024-05-05
Angela Williams,Amsterdam,32,Edinburgh,1,G6766,Amsterdam,Edinburgh,2023-12-14
Janice Weber,San Jose,38,"Baltimore, St. Louis, Charlotte, Oklahoma City, Austin",5,A9540,San Jose,Baltimore,2023-05-12
,,,,,S7951,San Jose,St. Louis,2022-12-14
,,,,,W1683,San Jose,Charlotte,2024-08-08
,,,,,Q5904,San Jose,Oklahoma City,2023-05-17
,,,,,I4228,San Jose,Austin,2024-05-29
Trevor Bowman,Savannah,46,"New York, Savannah",2,B9233,Savannah,New York,2024-02-27
,,,,,T5151,Savannah,Savannah,2024-04-28
Christina Hamilton,Boston,21,Seattle,1,Y5350,Boston,Seattle,2023-11-13
Jessica Salazar,Salt Lake City,44,"Austin, Oklahoma City, Salt Lake City, Lisbon, San Jose",5,Y9536,Salt Lake City,Austin,2022-09-30
,,,,,N6208,Salt Lake City,Oklahoma City,2023-03-21
,,,,,Q1762,Salt Lake City,Salt Lake City,2024-01-02
,,,,,D9034,Salt Lake City,Lisbon,2023-04-02
,,,,,A1434,Salt Lake City,San Jose,2023-10-16
Jessica Foster,Nashville,73,"San Antonio, Providence",2,L4530,Nashville,San Antonio,2023-11-18
,,,,,M3926,Nashville,Providence,2023-05-11
Christine Cole,Seattle,43,"San Antonio, Philadelphia, Newport, Philadelphia, San Antonio",5,Z5107,Seattle,San Antonio,2024-02-06
,,,,,S5103,Seattle,Philadelphia,2023-04-08
,,,,,D4508,Seattle,Newport,2023-01-21
,,,,,M1884,Seattle,Philadelphia,2024-06-15
,,,,,P4979,Seattle,San Antonio,2024-03-17
Stephanie Alvarez,Helsinki,58,"Milan, Minneapolis",2,M7375,Helsinki,Milan,2023-01-21
,,,,,T6947,Helsinki,Minneapolis,2024-03-30
Kristina Miller,Orlando,29,"Charleston, Portland, Asheville, Bratislava, Richmond",5,P6347,Orlando,Charleston,2023-06-03
,,,,,X2723,Orlando,Portland,2024-07-15
,,,,,N6907,Orlando,Asheville,2022-12-13
,,,,,R8851,Orlando,Bratislava,2023-12-04
,,,,,I2779,Orlando,Richmond,2023-07-31
Brian Adams,San Francisco,72,"Seattle, Indianapolis, Boston, Reykjavik",4,J1075,San Francisco,Seattle,2024-06-26
,,,,,Y6690,San Francisco,Indianapolis,2022-10-18
,,,,,C5354,San Francisco,Boston,2024-01-13
,,,,,V6232,San Francisco,Reykjavik,2023-03-22
Jessica Nichols,Baltimore,68,"Dallas, Pittsburgh, Sacramento, Fort Lauderdale, Washington",5,O4462,Baltimore,Dallas,2023-05-12
,,,,,R6751,Baltimore,Pittsburgh,2023-04-29
,,,,,W4733,Baltimore,Sacramento,2024-05-08
,,,,,X2100,Baltimore,Fort Lauderdale,2023-08-08
,,,,,E9220,Baltimore,Washington,2023-10-24
Mark Foster,Nice,26,"Bologna, Malaga",2,C2211,Nice,Bologna,2024-04-25
,,,,,Q2971,Nice,Malaga,2023-10-10
Heather Hoffman,Florence,30,"Bologna, Phoenix, Reykjavik",3,I8112,Florence,Bologna,2024-03-21
,,,,,H1016,Florence,Phoenix,2024-07-30
,,,,,E4082,Florence,Reykjavik,2023-06-07
Maurice Tyler,Florence,45,"Nice, Dubrovnik, St. Petersburg, Reykjavik, Cologne",5,T3404,Florence,Nice,2023-08-21
,,,,,A1003,Florence,Dubrovnik,2023-07-17
,,,,,H4954,Florence,St. Petersburg,2023-07-21
,,,,,B3057,Florence,Reykjavik,2024-06-01
,,,,,M8001,Florence,Cologne,2023-03-30
Chelsea Larson,Venice,62,"Copenhagen, Stockholm, Berlin",3,K8609,Venice,Copenhagen,2023-05-26
,,,,,P2529,Venice,Stockholm,2022-11-17
,,,,,R4671,Venice,Berlin,2023-04-18
Christopher Harrington,Atlanta,63,"Phoenix, Phoenix",2,A6368,Atlanta,Phoenix,2023-06-15
,,,,,X6326,Atlanta,Phoenix,2023-11-08
Rachel Wilson,Barcelona,22,"Gothenburg, Luxembourg",2,F4739,Barcelona,Gothenburg,2024-07-08
,,,,,J1248,Barcelona,Luxembourg,2023-04-30
Eddie Walton,Edinburgh,52,"Madrid, Bratislava, Paris",3,Y1306,Edinburgh,Madrid,2024-08-04
,,,,,D4032,Edinburgh,Bratislava,2024-04-26
,,,,,A6943,Edinburgh,Paris,2024-04-03
Brenda Price,Lisbon,28,"Edinburgh, Berlin, Marseille, Geneva, Milan",5,O1926,Lisbon,Edinburgh,2024-01-04
,,,,,F7809,Lisbon,Berlin,2022-12-27
,,,,,W2576,Lisbon,Marseille,2023-11-01
,,,,,C1077,Lisbon,Geneva,2024-06-19
,,,,,T6305,Lisbon,Milan,2023-02-20
Kevin Garcia,Venice,38,"Marseille, Bergen, Lyon",3,I1055,Venice,Marseille,2024-05-30
,,,,,T5335,Venice,Bergen,2023-03-08
,,,,,J8682,Venice,Lyon,2022-10-07
Kristin Blankenship,Kansas City,67,Philadelphia,1,N9280,Kansas City,Philadelphia,2022-10-17
Donald Graham,Warsaw,22,"Rome, Geneva",2,M8398,Warsaw,Rome,2024-07-05
,,,,,P9316,Warsaw,Geneva,2023-06-07
Joshua Coleman,Pittsburgh,32,"St. Louis, Scottsdale, Providence, Sacramento",4,X4529,Pittsburgh,St. Louis,2024-03-15
,,,,,Q6231,Pittsburgh,Scottsdale,2024-05-10
,,,,,G5268,Pittsburgh,Providence,2023-12-04
,,,,,P6685,Pittsburgh,Sacramento,2024-08-13
Samuel Davis,Moscow,47,"Geneva, Copenhagen, Bordeaux",3,A9265,Moscow,Geneva,2024-01-04
,,,,,B6568,Moscow,Copenhagen,2022-12-07
,,,,,G7203,Moscow,Bordeaux,2022-09-29
Kevin Ramirez,St. Petersburg,59,"Dublin, Dublin",2,F8136,St. Petersburg,Dublin,2023-12-18
,,,,,Y5939,St. Petersburg,Dublin,2023-02-05
Lauren Rivera,Santa Fe,20,"San Francisco, Orlando, San Jose, Santa Fe, Seattle",5,R6925,Santa Fe,San Francisco,2023-01-25
,,,,,W3226,Santa Fe,Orlando,2022-09-22
,,,,,Q9497,Santa Fe,San Jose,2024-03-22
,,,,,Y6671,Santa Fe,Santa Fe,2023-06-23
,,,,,K2750,Santa Fe,Seattle,2023-05-24
Matthew Brock,Savannah,52,Key West,1,M7065,Savannah,Key West,2023-05-03
Jordan Moore,Berlin,72,"Dublin, Munich, Bratislava",3,E7022,Berlin,Dublin,2022-10-20
,,,,,F6727,Berlin,Munich,2022-09-28
,,,,,W5821,Berlin,Bratislava,2023-08-07
James Hamilton,Salt Lake City,33,"San Francisco, Providence, San Francisco",3,Z2769,Salt Lake City,San Francisco,2022-11-02
,,,,,O7018,Salt Lake City,Providence,2023-07-11
,,,,,A6521,Salt Lake City,San Francisco,2023-07-27
Robert Mcmillan,Milan,53,"Istanbul, Florence, Marseille, Reykjavik",4,R4380,Milan,Istanbul,2023-10-12
,,,,,P9617,Milan,Florence,2022-10-14
,,,,,X5767,Milan,Marseille,2023-01-20
,,,,,B5408,Milan,Reykjavik,2023-09-13
Justin Carpenter,Cincinnati,52,"Pittsburgh, Sedona, Chicago",3,C2684,Cincinnati,Pittsburgh,2024-02-21
,,,,,H1428,Cincinnati,Sedona,2024-02-18
,,,,,V8682,Cincinnati,Chicago,2022-10-08
Mr. Donald Collins DDS,Naples,34,"Edinburgh, Bordeaux, Berlin, Oslo",4,H2597,Naples,Edinburgh,2023-06-24
,,,,,I5247,Naples,Bordeaux,2022-10-05
,,,,,K1740,Naples,Berlin,2023-10-03
,,,,,L9206,Naples,Oslo,2024-07-03
Rebecca Davis,Boston,34,"Salt Lake City, Savannah",2,S6728,Boston,Salt Lake City,2023-06-13
,,,,,Y3897,Boston,Savannah,2022-09-30
Crystal Smith,New Orleans,43,"Las Vegas, Salt Lake City, Baltimore, Philadelphia",4,E1079,New Orleans,Las Vegas,2022-11-15
,,,,,E5757,New Orleans,Salt Lake City,2023-02-05
,,,,,Y3797,New Orleans,Baltimore,2023-08-01
,,,,,R3762,New Orleans,Philadelphia,2023-07-25
Cameron Armstrong,Las Vegas,66,"Sacramento, Portland",2,B6124,Las Vegas,Sacramento,2023-12-03
,,,,,Q2611,Las Vegas,Portland,2024-03-08
David Brady,St. Louis,67,Sacramento,1,G8519,St. Louis,Sacramento,2024-03-20
Melissa Taylor,Asheville,53,"Providence, Key West, Jacksonville, Charleston, Fort Lauderdale",5,X6791,Asheville,Providence,2023-03-31
,,,,,S9516,Asheville,Key West,2023-06-18
,,,,,X8947,Asheville,Jacksonville,2023-01-11
,,,,,S1614,Asheville,Charleston,2022-10-14
,,,,,Q3826,Asheville,Fort Lauderdale,2023-01-07
Teresa Taylor,Vienna,45,"Munich, Brussels",2,W2162,Vienna,Munich,2024-03-11
,,,,,K3691,Vienna,Brussels,2024-03-04
Jeffrey Rogers,Vienna,38,"Dubrovnik, Rome, Geneva, Tallinn, Dublin",5,Z3822,Vienna,Dubrovnik,2023-09-03
,,,,,K8152,Vienna,Rome,2023-05-28
,,,,,K3291,Vienna,Geneva,2023-03-18
,,,,,W9020,Vienna,Tallinn,2022-09-15
,,,,,J3752,Vienna,Dublin,2023-09-10
Dorothy Henderson,Zurich,24,"Barcelona, Bergen, Edinburgh, Reykjavik",4,U5844,Zurich,Barcelona,2023-03-25
,,,,,C6187,Zurich,Bergen,2023-02-25
,,,,,U8392,Zurich,Edinburgh,2023-07-29
,,,,,B4623,Zurich,Reykjavik,2024-02-25
Tyler Benson,Naples,56,"Geneva, Lyon, Lisbon",3,R6270,Naples,Geneva,2023-10-13
,,,,,R9201,Naples,Lyon,2023-04-16
,,,,,L4900,Naples,Lisbon,2023-11-24
Nicole Neal,Philadelphia,63,"Sacramento, Lisbon",2,K2355,Philadelphia,Sacramento,2024-08-11
,,,,,D5195,Philadelphia,Lisbon,2023-03-12
Lisa Lee,Jacksonville,54,"Newport, Nashville, Chicago, Seattle",4,S5030,Jacksonville,Newport,2024-05-25
,,,,,T6810,Jacksonville,Nashville,2023-04-22
,,,,,P7162,Jacksonville,Chicago,2022-09-07
,,,,,P3564,Jacksonville,Seattle,2022-11-01
Dr. Stephanie Simmons PhD,Geneva,19,"Lyon, St. Louis, Dubrovnik",3,B1951,Geneva,Lyon,2023-09-08
,,,,,V6772,Geneva,St. Louis,2022-10-15
,,,,,U6362,Geneva,Dubrovnik,2024-02-07
Mary Lopez,Munich,18,"Budapest, Oslo, Amsterdam, Valencia",4,W3249,Munich,Budapest,2024-01-02
,,,,,V7165,Munich,Oslo,2023-06-29
,,,,,V2654,Munich,Amsterdam,2024-07-15
,,,,,A7865,Munich,Valencia,2024-03-26
Traci Bennett,Nashville,36,Baltimore,1,C7834,Nashville,Baltimore,2022-11-14
Janet Sanders,Charleston,40,"Fort Lauderdale, Orlando, St. Louis, San Francisco",4,H8017,Charleston,Fort Lauderdale,2022-12-13
,,,,,F3482,Charleston,Orlando,2023-01-29
,,,,,Q2746,Charleston,St. Louis,2024-08-02
,,,,,G9968,Charleston,San Francisco,2024-07-10
Andrew Pacheco,San Diego,43,"Dallas, Tampa, Orlando, Fort Lauderdale, Pittsburgh",5,M3790,San Diego,Dallas,2022-12-16
,,,,,W2683,San Diego,Tampa,2024-08-17
,,,,,B8365,San Diego,Orlando,2022-10-04
,,,,,V4630,San Diego,Fort Lauderdale,2023-03-11
,,,,,S9271,San Diego,Pittsburgh,2022-10-24
Tyler Barr,St. Petersburg,47,Lyon,1,N2366,St. Petersburg,Lyon,2024-02-24
James Callahan,Lyon,39,"Bologna, Seville",2,B3225,Lyon,Bologna,2024-01-09
,,,,,S7606,Lyon,Seville,2024-07-20
Christopher Kim,Milan,29,Berlin,1,O8185,Milan,Berlin,2023-01-22
Daniel Kelly,Athens,30,"Stockholm, Rome, Moscow, Dubrovnik, Salzburg",5,W6367,Athens,Stockholm,2024-01-25
,,,,,O7687,Athens,Rome,2024-04-30
,,,,,K1169,Athens,Moscow,2023-04-08
,,,,,E2228,Athens,Dubrovnik,2024-08-17
,,,,,V3544,Athens,Salzburg,2022-09-17
Andrea Snyder,Rome,36,"Naples, Bologna, Tallinn, Edinburgh, Athens",5,O3444,Rome,Naples,2024-03-23
,,,,,P9541,Rome,Bologna,2023-05-14
,,,,,G4948,Rome,Tallinn,2023-08-10
,,,,,E4284,Rome,Edinburgh,2022-09-06
,,,,,C5293,Rome,Athens,2024-05-04
Kenneth Hogan,Florence,57,Rome,1,P8573,Florence,Rome,2022-11-30
Bryan Young,Stockholm,37,"Lyon, Zurich, Minneapolis, Moscow",4,X7261,Stockholm,Lyon,2023-05-08
,,,,,F5535,Stockholm,Zurich,2023-08-02
,,,,,Z5571,Stockholm,Minneapolis,2023-08-09
,,,,,X9558,Stockholm,Moscow,2023-12-27
Nicholas Young,Cincinnati,41,"Salzburg, Charleston, Cincinnati, Washington, Milwaukee",5,C6043,Cincinnati,Salzburg,2022-11-16
,,,,,C1560,Cincinnati,Charleston,2023-11-27
,,,,,O9356,Cincinnati,Cincinnati,2023-02-12
,,,,,K2755,Cincinnati,Washington,2022-09-08
,,,,,X4997,Cincinnati,Milwaukee,2024-06-07
Rachel Mayo,Dublin,72,Florence,1,I1136,Dublin,Florence,2024-05-11
Crystal Mccoy,Charlotte,43,"Richmond, Newport",2,T2310,Charlotte,Richmond,2023-08-07
,,,,,P5971,Charlotte,Newport,2022-12-20
Katie Fowler,Las Vegas,57,"Charleston, Jacksonville, Nashville, Savannah, Richmond",5,P6691,Las Vegas,Charleston,2023-03-25
,,,,,Z7093,Las Vegas,Jacksonville,2023-03-14
,,,,,L8658,Las Vegas,Nashville,2023-06-18
,,,,,I7099,Las Vegas,Savannah,2023-07-12
,,,,,X4003,Las Vegas,Richmond,2024-08-05
Jonathan James,Key West,36,"San Diego, Atlanta, Minneapolis, Austin, San Antonio",5,H5670,Key West,San Diego,2024-04-30
,,,,,M4853,Key West,Atlanta,2024-03-03
,,,,,Q2492,Key West,Minneapolis,2023-02-27
,,,,,U9188,Key West,Austin,2023-09-21
,,,,,A2028,Key West,San Antonio,2024-03-30
Carrie Powell,Florence,27,Florence,1,W8161,Florence,Florence,2024-01-21
Crystal Brewer,Orlando,73,"Savannah, Savannah, Providence, Asheville, Austin",5,B5449,Orlando,Savannah,2024-03-21
,,,,,T1098,Orlando,Savannah,2024-02-29
,,,,,A6811,Orlando,Providence,2023-07-12
,,,,,E2378,Orlando,Asheville,2023-07-07
,,,,,J2380,Orlando,Austin,2023-01-27
Miguel Murphy,Los Angeles,20,Milwaukee,1,D6390,Los Angeles,Milwaukee,2023-03-14
Christopher Gonzalez,Sedona,58,"Fort Lauderdale, Salt Lake City",2,N9530,Sedona,Fort Lauderdale,2024-03-22
,,,,,V3704,Sedona,Salt Lake City,2023-08-08
Gabriel Martinez,Salt Lake City,74,Richmond,1,P5580,Salt Lake City,Richmond,2023-12-15
David Terrell,Kansas City,66,"Phoenix, Savannah, San Antonio, Austin",4,C2432,Kansas City,Phoenix,2024-01-15
,,,,,G7986,Kansas City,Savannah,2022-09-21
,,,,,R2853,Kansas City,San Antonio,2023-05-23
,,,,,V3725,Kansas City,Austin,2024-04-28
Sandra Salinas,Brussels,53,"Munich, Cologne, Munich, Valencia, Venice",5,S1981,Brussels,Munich,2023-09-15
,,,,,P5944,Brussels,Cologne,2023-05-31
,,,,,L7698,Brussels,Munich,2024-01-14
,,,,,U2944,Brussels,Valencia,2024-06-22
,,,,,L2691,Brussels,Venice,2022-12-31
Keith Castillo,Denver,50,"Kansas City, San Diego, Nashville, Philadelphia, Richmond",5,V3614,Denver,Kansas City,2023-04-26
,,,,,E6305,Denver,San Diego,2023-10-06
,,,,,R8486,Denver,Nashville,2024-06-13
,,,,,F1911,Denver,Philadelphia,2024-06-08
,,,,,M9223,Denver,Richmond,2024-05-16
Brittany Morris MD,Denver,65,"San Diego, Milwaukee, Sacramento, San Jose",4,O4016,Denver,San Diego,2022-10-31
,,,,,S1809,Denver,Milwaukee,2023-12-10
,,,,,S6890,Denver,Sacramento,2024-02-12
,,,,,P3762,Denver,San Jose,2023-07-12
Nicholas Williams,Pittsburgh,48,"New Orleans, Orlando, Orlando, Tampa",4,X7910,Pittsburgh,New Orleans,2023-11-07
,,,,,I5623,Pittsburgh,Orlando,2023-03-20
,,,,,C8238,Pittsburgh,Orlando,2023-12-03
,,,,,G7944,Pittsburgh,Tampa,2023-10-28
Samuel Price,Phoenix,58,"Kansas City, Kansas City, Savannah, Las Vegas, Providence",5,C8876,Phoenix,Kansas City,2023-06-06
,,,,,W9192,Phoenix,Kansas City,2024-04-15
,,,,,H1580,Phoenix,Savannah,2023-09-03
,,,,,U9083,Phoenix,Las Vegas,2022-12-17
,,,,,Z6370,Phoenix,Providence,2024-02-02
Bryce Jones,Key West,43,"Indianapolis, Denver",2,J1238,Key West,Indianapolis,2022-10-20
,,,,,D6559,Key West,Denver,2022-12-14
Robert Cook,Reykjavik,30,"Oslo, Moscow",2,J5580,Reykjavik,Oslo,2024-05-05
,,,,,W9764,Reykjavik,Moscow,2023-01-18
Michael Farley,Istanbul,31,Marseille,1,X3103,Istanbul,Marseille,2024-07-20
Rebecca Hood,Charlotte,54,"Scottsdale, Savannah, Richmond",3,C7295,Charlotte,Scottsdale,2023-12-01
,,,,,V4450,Charlotte,Savannah,2024-05-24
,,,,,G8100,Charlotte,Richmond,2023-06-30
Chloe Salazar,St. Louis,27,"Nashville, Honolulu",2,W7126,St. Louis,Nashville,2023-07-30
,,,,,V1659,St. Louis,Honolulu,2023-07-24
Colleen Jones,Luxembourg,68,Madrid,1,S6736,Luxembourg,Madrid,2022-09-20
Rhonda Fowler,Honolulu,19,"Key West, Dubrovnik, San Antonio, Philadelphia, San Francisco",5,R6446,Honolulu,Key West,2023-12-14
,,,,,M7912,Honolulu,Dubrovnik,2023-09-09
,,,,,X3744,Honolulu,San Antonio,2023-08-31
,,,,,N1148,Honolulu,Philadelphia,2023-05-22
,,,,,O1075,Honolulu,San Francisco,2024-02-13
Kristin Smith,Salt Lake City,28,"Salt Lake City, Dublin, Phoenix",3,J8955,Salt Lake City,Salt Lake City,2023-01-21
,,,,,K5132,Salt Lake City,Dublin,2022-09-26
,,,,,G4175,Salt Lake City,Phoenix,2024-03-28
Thomas Brown,Milan,25,"Lyon, Rome",2,V3351,Milan,Lyon,2023-06-13
,,,,,C8363,Milan,Rome,2023-10-19
Alexander Walters,Los Angeles,68,"Los Angeles, San Antonio",2,J3003,Los Angeles,Los Angeles,2023-06-04
,,,,,V1384,Los Angeles,San Antonio,2023-02-27
Joseph Howell,Tampa,57,Atlanta,1,V2961,Tampa,Atlanta,2024-06-08
Kathryn Johnson,Porto,32,"Zurich, Moscow",2,W1293,Porto,Zurich,2023-05-02
,,,,,S4862,Porto,Moscow,2022-09-20
Rachel Obrien,Bologna,72,"Budapest, Amsterdam, Milan, Moscow",4,V2121,Bologna,Budapest,2024-01-17
,,,,,Y4494,Bologna,Amsterdam,2023-02-09
,,,,,P7921,Bologna,Milan,2023-07-03
,,,,,K4271,Bologna,Moscow,2023-02-01
Jose Johnston,Portland,66,"Portland, Savannah, Seattle, Savannah, Tampa",5,P7211,Portland,Portland,2024-07-15
,,,,,A3282,Portland,Savannah,2023-04-06
,,,,,E9407,Portland,Seattle,2022-12-12
,,,,,Y1725,Portland,Savannah,2024-01-18
,,,,,D8615,Portland,Tampa,2023-11-29
Shannon Ramirez,Newport,23,"Nashville, Washington, San Jose",3,L6564,Newport,Nashville,2023-03-09
,,,,,N8152,Newport,Washington,2024-01-25
,,,,,Y8808,Newport,San Jose,2023-03-22
Eric Cardenas,Paris,39,"Dublin, Geneva, Lisbon, San Diego, Edinburgh",5,W4400,Paris,Dublin,2022-09-30
,,,,,B2708,Paris,Geneva,2023-09-10
,,,,,X5052,Paris,Lisbon,2023-07-14
,,,,,P3451,Paris,San Diego,2022-11-25
,,,,,C2866,Paris,Edinburgh,2024-02-18
Jorge Ibarra,Tampa,54,Sacramento,1,W5528,Tampa,Sacramento,2024-06-27
Matthew Wilkinson,New York,35,"Charleston, Las Vegas, Santa Fe, San Diego",4,U2260,New York,Charleston,2024-04-04
,,,,,R4905,New York,Las Vegas,2022-12-09
,,,,,V6572,New York,Santa Fe,2023-04-24
,,,,,G7945,New York,San Diego,2023-11-15
Ashley Brown,Budapest,65,"Dubrovnik, Cologne, Barcelona",3,Y4684,Budapest,Dubrovnik,2024-06-18
,,,,,Z8751,Budapest,Cologne,2023-03-22
,,,,,T9472,Budapest,Barcelona,2023-01-09
Robert Miller,San Francisco,40,"Denver, Santa Fe, Milwaukee, Washington",4,T4911,San Francisco,Denver,2023-07-04
,,,,,G7843,San Francisco,Santa Fe,2024-02-20
,,,,,N5648,San Francisco,Milwaukee,2023-11-09
,,,,,Z8217,San Francisco,Washington,2023-04-03
Daniel Martinez,Bergen,55,"Naples, Nice",2,P1192,Bergen,Naples,2024-02-29
,,,,,K1442,Bergen,Nice,2022-09-08
Sean Hughes,San Jose,25,"Milwaukee, Houston, Dallas, San Diego, Charlotte",5,P6977,San Jose,Milwaukee,2023-10-03
,,,,,R1203,San Jose,Houston,2023-09-17
,,,,,F5151,San Jose,Dallas,2023-01-06
,,,,,O1085,San Jose,San Diego,2022-12-02
,,,,,N4081,San Jose,Charlotte,2023-08-01
Steven Cole,Stockholm,72,"Porto, Budapest, Madrid, Milan",4,M5731,Stockholm,Porto,2022-11-06
,,,,,M8268,Stockholm,Budapest,2024-06-27
,,,,,P2625,Stockholm,Madrid,2023-10-15
,,,,,O5123,Stockholm,Milan,2023-08-19
Dawn Gonzalez,Savannah,23,Salt Lake City,1,Q4224,Savannah,Salt Lake City,2023-05-26
Heather Lane,Ljubljana,56,"Bergen, Valencia",2,K2622,Ljubljana,Bergen,2023-04-01
,,,,,X9596,Ljubljana,Valencia,2024-08-06
Bradley Williams,Florence,23,"Brussels, Tampa, Florence",3,A2704,Florence,Brussels,2023-09-03
,,,,,H1643,Florence,Tampa,2024-05-06
,,,,,L1812,Florence,Florence,2024-06-27
William Washington,Orlando,28,Boston,1,U5805,Orlando,Boston,2024-03-13
Kenneth Schultz,Scottsdale,26,"Scottsdale, Santa Fe, Fort Lauderdale, Washington",4,Z1840,Scottsdale,Scottsdale,2024-04-20
,,,,,I7775,Scottsdale,Santa Fe,2023-12-31
,,,,,D8296,Scottsdale,Fort Lauderdale,2024-01-07
,,,,,K3920,Scottsdale,Washington,2023-02-02
